dossier	chambre	stade	fichier	url
JORFDOLE000048632889	assemblee	Texte modifié en 1ère lecture par l'Assemblée nationale le 19 mars 2024	dyn-16-textes-l16t0262_texte-adopte-seance-	https://www.assemblee-nationale.fr/dyn/16/textes/l16t0262_texte-adopte-seance#
JORFDOLE000048632889	senat	Texte adopté en 1ère lecture par le Sénat le 13 février 2024	leg-tas23-066.html	https://www.senat.fr/leg/tas23-066.html
JORFDOLE000048632889	senat	Texte adopté, dans les conditions prévues à l’article 45 (alinéas 2 et 3) de la Constitution, par le Sénat le 9 avril 2024	leg-tas23-112.html	https://www.senat.fr/leg/tas23-112.html
JORFDOLE000048632889	senat	Texte de la CMP déposé le 3 avril 2024	leg-pjl23-505.html	https://www.senat.fr/leg/pjl23-505.html
JORFDOLE000049262627	assemblee	Proposition de loi	dyn-16-textes-l16b0643_proposition-loi	https://www.assemblee-nationale.fr/dyn/16/textes/l16b0643_proposition-loi
JORFDOLE000049262627	assemblee	Texte adopté en 1ère lecture par l'Assemblé nationale le 23 novembre 2023	dyn-16-textes-l16t0193_texte-adopte-seance-	https://www.assemblee-nationale.fr/dyn/16/textes/l16t0193_texte-adopte-seance#
JORFDOLE000049262627	assemblee	Texte adopté, dans les conditions prévues à l'article 45, alinéa 3, de la Constitution, par l'Assemblée nationale le 19 mars 2024	dyn-16-textes-l16t0265_texte-adopte-seance	https://www.assemblee-nationale.fr/dyn/16/textes/l16t0265_texte-adopte-seance
JORFDOLE000049262627	assemblee	Texte de la commission déposé le 5 avril 2023	dyn-16-textes-l16b1070_texte-adopte-commission-	https://www.assemblee-nationale.fr/dyn/16/textes/l16b1070_texte-adopte-commission#
JORFDOLE000049262627	senat	Texte adopté, dans les conditions prévues à l'article 45, alinéa 3, de la Constitution, par le Sénat, le 27 mars 2024	leg-tas23-100.html	https://www.senat.fr/leg/tas23-100.html
JORFDOLE000049262627	senat	Texte de la CMP déposé le 12 mars 2024	leg-ppl23-412.html	https://www.senat.fr/leg/ppl23-412.html
JORFDOLE000049262627	senat	Texte de la commission déposé le 17 janvier 2024	leg-ppl23-253.html	https://www.senat.fr/leg/ppl23-253.html
JORFDOLE000049262627	senat	Texte modifié en 1ère lecture par le Sénat le 6 février 2024	leg-tas23-062.html	https://www.senat.fr/leg/tas23-062.html
JORFDOLE000050427907	assemblee	Texte adopté dans les conditions prévues à l'article 45, alinéa 3 de la Constitution, par l'Assemblée nationale le 2 avril 2025	dyn-17-textes-l17t0087_texte-adopte-seance	https://www.assemblee-nationale.fr/dyn/17/textes/l17t0087_texte-adopte-seance
JORFDOLE000050427907	assemblee	Texte adopté en 1ère lecture par l'Assemblée nationale le 17 février 2025	dyn-17-textes-l17t0053_texte-adopte-seance	https://www.assemblee-nationale.fr/dyn/17/textes/l17t0053_texte-adopte-seance
JORFDOLE000050427907	assemblee	Texte de la CMP déposé le 1er avril 2025	dyn-17-textes-l17b1198_texte-adopte-commission	https://www.assemblee-nationale.fr/dyn/17/textes/l17b1198_texte-adopte-commission
JORFDOLE000050427907	assemblee	Texte de la commission n° 631 déposé le 27 novembre 2024	dyn-17-textes-l17b0631_texte-adopte-commission-	https://www.assemblee-nationale.fr/dyn/17/textes/l17b0631_texte-adopte-commission#
JORFDOLE000050427907	senat	Texte adopté dans les conditions prévues à l'article 45, alinéas 2 et 3 de la Constitution, par le Sénat le 3 avril 2025	leg-tas24-100.html	https://www.senat.fr/leg/tas24-100.html
JORFDOLE000050427907	senat	Texte de la commission n° 402 déposé le 5 mars 2025	leg-pjl24-402.html	https://www.senat.fr/leg/pjl24-402.html
JORFDOLE000050427907	senat	Texte modifié en 1ère lecture par le Sénat le 10 mars 2025	leg-tas24-071.html	https://www.senat.fr/leg/tas24-071.html
JORFDOLE000051045642	assemblee	Proposition de loi	dyn-17-textes-l17b0447_proposition-loi	https://www.assemblee-nationale.fr/dyn/17/textes/l17b0447_proposition-loi
JORFDOLE000051045642	assemblee	Texte adopté dans les conditions prévues à l'article 45, alinéa 3, de la Constitution, par l'Assemblée nationale le 14 mai 2025	dyn-17-textes-l17t0112_texte-adopte-seance	https://www.assemblee-nationale.fr/dyn/17/textes/l17t0112_texte-adopte-seance
